Province_State,StatePopFinal,SqArea,PopPerSqMi,PeakPopDens,PerCapIncome,MedianAge,PartyAffil
Alabama,4903185,"52,420",94,"3,503.80","$23,606 ",39.2,-15
Alaska,731545,"665,384",1,"2,348.60","$33,062 ",34.6,-21
Arizona,7278717,"113,990",64,"6,813.90","$25,715 ",37.9,-2
Arkansas,3017804,"53,179",57,"3,322.50","$22,883 ",38.3,-9
California,39512223,"163,695",241,"23,887.20","$30,441 ",36.8,21
Colorado,5758736,"104,094",55,"8,241.30","$32,357 ",36.9,9
Connecticut,3565287,"5,543",643,"8,720.90","$39,373 ",41.0,19
Delaware,973764,"2,489",391,"7,102.70","$30,488 ",40.7,12
District of Columbia,705749,68,10379,"11,367.00","$45,877 ",34.0,59
Florida,21477737,"65,758",327,"20,267.10","$26,582 ",42.2,3
Georgia,10617423,"59,425",179,"6,856.30","$25,615 ",36.9,2
Hawaii,1415872,"10,932",130,"4,336.60","$29,736 ",39.2,22
Idaho,1787065,"83,569",21,"9,044.40","$23,938 ",36.6,-22
Illinois,12671821,"57,914",219,"15,378.20","$30,417 ",38.3,17
Indiana,6732219,"36,420",185,"5,219.60","$25,140 ",37.9,-2
Iowa,3155070,"56,273",56,"3,626.30","$28,361 ",38.2,0
Kansas,2913314,"82,278",35,"5,512.00","$27,870 ",36.9,-14
Kentucky,4467673,"40,408",111,"17,036.00","$23,684 ",38.9,-4
Louisiana,4648794,"52,378",89,"5,023.50","$24,800 ",37.2,-3
Maine,1344212,"35,380",38,"3,029.20","$27,978 ",44.9,8
Maryland,6045680,"12,406",487,"13,038.50","$36,338 ",38.8,28
Massachusetts,6892503,"10,554",653,"18,868.10","$36,593 ",39.4,31
Michigan,9986857,"96,714",103,"10,900.50","$26,613 ",39.8,7
Minnesota,5639632,"86,936",65,"8,996.80","$32,638 ",38.1,10
Mississippi,2976149,"48,432",61,"5,394.70","$21,036 ",37.7,-7
Missouri,6626371,"69,707",95,"9,872.80","$26,126 ",38.7,-7
Montana,1068778,"147,040",7,"3,911.20","$25,989 ",39.9,-14
Nebraska,1934408,"77,348",25,"4,114.80","$27,446 ",36.6,-15
Nevada,3080156,"110,572",28,"4,222.50","$25,773 ",38.1,3
New Hampshire,1359711,"9,349",145,"3,241.40","$34,691 ",43.0,3
New Jersey,8882190,"8,723",1018,"56,012.00","$37,288 ",40.0,15
New Mexico,2096829,"121,590",17,"2,916.40","$23,683 ",38.1,14
New York,23628065,"54,555",433,"27,788.20","$33,095 ",39.0,23
North Carolina,10488084,"53,819",195,"3,753.70","$25,774 ",38.9,5
North Dakota,762062,"70,698",11,"3,688.40","$33,071 ",35.2,-28
Ohio,11689100,"44,826",261,"10,208.50","$26,937 ",39.4,-1
Oklahoma,3956971,"69,899",57,"3,999.80","$25,229 ",36.7,-14
Oregon,4217737,"98,379",43,"11,061.50","$27,646 ",39.4,13
Pennsylvania,12801989,"46,054",278,"16,557.10","$29,220 ",40.8,5
Rhode Island,1059361,"1,545",686,"15,652.00","$30,830 ",40.1,21
South Carolina,5148714,"32,020",161,"2,670.20","$24,596 ",39.6,-10
South Dakota,884659,"77,116",11,"2,877.80","$26,959 ",37.1,-17
Tennessee,6829174,"42,144",162,"2,497.30","$24,922 ",38.8,-12
Texas,28995881,"268,596",108,"11,911.30","$27,125 ",34.8,-3
Utah,3205958,"84,897",38,"5,376.10","$24,877 ",31.0,-27
Vermont,623989,"9,616",65,"5,190.70","$29,178 ",42.8,22
Virginia,8535519,"42,775",200,"8,452.00","$34,052 ",38.4,7
Washington,7614893,"71,298",107,"6,717.00","$31,841 ",37.7,15
West Virginia,1792147,"24,230",74,"3,487.30","$22,714 ",42.7,-4
Wisconsin,5822434,"65,496",89,"8,599.50","$28,213 ",39.6,2
Wyoming,578759,"97,813",6,"3,037.20","$29,698 ",38.0,-29
American Samoa,55641,581,96,"7,741.20","$6,311 ",25.5,
Guam,164229,571,288,"3,749.50","$16,549 ",29.0,
Northern Mariana Islands,55144,"1,976",28,"1,050.80","$9,656 ",33.6,
Puerto Rico,2933408,"5,325",551,"9,084.40","$12,081 ",41.5,
Virgin Islands,107268,733,146,"8,552.00","$21,362 ",41.0,
Diamond Princess,3711,0.0545,68092,68091.74312,"$45,000 ",46.7,
Grand Princess,3533,0.0684,51652,51652.04678,"$45,000 ",46.7,
